what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewCreateRepository",1318243379346
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1318243391964
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243395851
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243397564
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewDelete",1318243397718
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243399296
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243415651
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewCreateRepository",1318243415700
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243416182
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243417908
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243418064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243433850
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243437774
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243449229
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewAddRepository",1318243449280
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewAddToIndex",1318243470498
started,bundle,org.eclipse.egit.mylyn.ui,1.1.0.201109151100-r,"org.eclipse.egit.mylyn.ui",1318243475221
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243476067
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1318243481442
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243483161
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.Commit",1318243483281
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243483617
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243484579
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243489155
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243819956
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.Push",1318243820031
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243820366
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243938495
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243939702
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243958909
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318243966192
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1318244002028
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244015810
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.Push",1318244015872
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244016211
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244073788
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244077291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244090195
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.Push",1318244090258
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244090604
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244124257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244126411
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244304403
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244315291
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244384864
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244385627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244434257
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1318244436595
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244446073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1318244447645
